scenarioId,scenarioLabel,targetElectricityInputShare,targetHydrogenInputShare,targetComputeInputShare,allocationBoundary,capacityRule,parameterStatus,testScenarioId,horizonH,shareTolerance,maxENSLimitMWh,minRenewableUtilizationLimit,commonCableCapacityMW,commonElectrolyzerCapacityMW,commonComputeCapacityMW,status,auditPass,exitflag,eAvailableMWh,eElectricityInputMWh,eHydrogenInputMWh,eTotalComputeInputMWh,eFlexibleComputeInputMWh,realizedElectricityInputShare,realizedHydrogenInputShare,realizedComputeInputShare,maxShareDeviation,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,renewableUtilization,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,minimumGfmUpwardPowerHeadroomMW,minimumGfmUpwardEnergyHeadroomMWh,minimumGfmDownwardPowerHeadroomMW,minimumGfmDownwardEnergyHeadroomMWh,simultaneousCurtailmentCriticalENSCount,actualPeakCableSendMW,actualPeakElectrolyzerMW,actualPeakComputeFacilityMW
mix_E20_C80,"Power + compute, high-compute",0.2,0,0.8,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,689.852315280174,0,3165.84002690244,2445.84002690244,0.22,0,0.78,0.02,634.66413005776,0,2942.23050827364,7032.11627350285,0.410478190473233,0,3124081.99391241,102576.562227769,-3021505.43168464,15.4584157572958,0,0,0,0,200,0,120
mix_H80_C20,"Hydrogen + compute, H2-led",0,0.8,0.2,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,0,1565.84002690244,1161.64718707505,441.647187075046,0,0.78,0.22,0.0199999999999999,0,27202.9731659928,1079.59775750469,8160.32183042176,0.31589758976003,0,2078687.7546263,333430.090265263,-1745257.66436104,38.9770356116383,0,0,0,0,0,100,120
mix_H60_C40,"Hydrogen + compute, moderate compute",0,0.6,0.4,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,0,2006.46819896087,2172.95973028201,1452.95973028201,0,0.58,0.42,0.02,0,34825.0103091541,2019.47930323607,6708.38087707538,0.437617826578073,0,2924581.14578454,470574.790460065,-2454006.35532448,39.7264472159472,0,0,0,0,0,100,120
mix_H40_C60,"Hydrogen + compute, compute-led",0,0.4,0.6,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,0,1470.97581703854,3120.01317516815,2400.01317516815,0,0.38,0.62,0.02,0,25548.6563126327,2899.64049736816,6298.31439806084,0.471994836760031,0,3716716.42483938,361900.134936796,-3354816.28990258,45.5664741183834,0,0,14.5545807729379,0,0,100,120
mix_H20_C80,"Hydrogen + compute, high-compute",0,0.2,0.8,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,0,689.852315280174,3165.84002690244,2445.84002690244,0,0.22,0.78,0.02,0,12016.671287204,2942.23050827364,7032.11626215469,0.410478191424581,0,3280650.66723217,225362.650674218,-3055288.01655796,15.4584157572957,-4.2632564145606e-14,-1.13686837721616e-13,0,0,0,60.0000000000001,120
mix_E60_H20_C20,"Triplex power-biased",0.6,0.2,0.2,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,5196.52084646015,1558.95625393804,2625.39097703539,1905.39097703539,0.6,0.18,0.22,0.02,4780.79917874334,27082.9285079913,2439.95443962397,1495.96397903478,0.874589190848497,0,5848390.00472889,469159.186251516,-5379230.81847737,0,0,0,0,0,200,100,120
mix_E50_H30_C20,"Triplex power-led",0.5,0.3,0.2,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,3582.97892671584,2006.46819896087,2296.51072775497,1576.51072775497,0.5,0.28,0.22,0.02,3296.34061257857,34825.0103091541,2134.3036503299,3001.85016796546,0.748346575323943,0,5335361.48697399,544705.622608821,-4790655.86436517,39.8840356116383,0,0,0,0,200,100,120
mix_E40_H30_C30,"Triplex balanced",0.4,0.3,0.3,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,2866.38314137267,2006.46819896087,3013.10651309814,2293.10651309814,0.4,0.28,0.32,0.02,2637.07249006286,34825.0103091541,2800.2848634741,3001.85012164398,0.7483465792072,0,5473256.89304277,544705.636398368,-4928551.25664441,38.5630288548595,0,3.29608652103914,0,0,200,100,120
mix_E30_H30_C40,"Triplex compute-led",0.3,0.3,0.4,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,2013.98825397728,1865.88501279928,3133.84002690244,2413.84002690244,0.32,0.296468066741021,0.383531933258978,0.02,1852.86919365909,32395.7356445885,2912.49073132197,3874.09481746719,0.675223887341401,0,5015009.88379613,491530.025293372,-4523479.85850275,37.4349272159472,0,0,0,0,200,100,120
mix_E20_H40_C40,"Triplex H2/compute-led",0.2,0.4,0.4,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,1056.03589418993,2006.46819896087,2937.67537779886,2217.67537779886,0.2,0.38,0.42,0.0200000000000001,971.553022654737,34825.0103091541,2730.18157787998,4887.62890428451,0.590256513987665,0,4244300.30882238,506989.94962462,-3737310.35919776,36.4030557572958,0,3.30019071080389,0,0,200,100,120
mix_E20_H60_C20,"Triplex H2-biased",0.2,0.6,0.2,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,691.885585848576,2006.46819896087,1481.07414443343,761.074144433434,0.2,0.58,0.22,0.0200000000000001,636.53473898069,34825.0103091541,1376.46295951063,6708.38092179954,0.437617822828722,0,2791440.75371813,470574.777146025,-2320865.9765721,31.7264472159472,0,0,0,0,200,100,120
mix_E20_H20_C60,"Triplex high-compute",0.2,0.2,0.6,OPTIONAL_INPUT_ENERGY_OVER_FULL_HORIZON; BASE_COMPUTE_EXCLUDED,COMMON_V5_PHYSICAL_CAPACITY; STRATEGY_CHANGES_DISPATCH_ONLY,[假设值，待企业调研校准],V5_ALL_CHANNEL_WEATHER_TASK_48H,48,0.02,0,0,200,100,120,PASS,1,1,11928.5091066399,843.393112724978,927.732423997476,3165.84002690244,2445.84002690244,0.2,0.22,0.58,0.02,775.92166370698,16123.1096621019,2942.23050827364,5950.84281242131,0.5011243434346,0,4029117.75057196,294224.764121564,-3734892.98645039,17.5925156116383,0,-4.14956957683899e-12,0,0,200,80,120
